Inference for Bugs model at "scripts/multivariate/analyze-protea.jags", fit using jags,
 5 chains, each with 60000 iterations (first 10000 discarded), n.thin = 50
 n.sims = 5000 iterations saved
           mu.vect sd.vect    2.5%     25%     50%     75%   97.5%  Rhat n.eff
gamma[5,8]   0.084   0.278   0.000   0.000   0.000   0.000   1.000 1.007   960
gamma[6,8]   0.090   0.286   0.000   0.000   0.000   0.000   1.000 1.010   710
gamma[1,9]   0.631   0.483   0.000   0.000   1.000   1.000   1.000 1.011   300
gamma[2,9]   0.570   0.495   0.000   0.000   1.000   1.000   1.000 1.022   140
gamma[3,9]   0.905   0.294   0.000   1.000   1.000   1.000   1.000 1.067   100
gamma[4,9]   0.676   0.468   0.000   0.000   1.000   1.000   1.000 1.023   140
gamma[5,9]   0.446   0.497   0.000   0.000   0.000   1.000   1.000 1.010   310
gamma[6,9]   0.266   0.442   0.000   0.000   0.000   1.000   1.000 1.019   190
pi[1]        0.466   0.232   0.074   0.282   0.456   0.637   0.925 1.013   290
pi[2]        0.485   0.230   0.115   0.298   0.467   0.655   0.947 1.009   400
pi[3]        0.615   0.197   0.236   0.468   0.625   0.763   0.962 1.010   380
pi[4]        0.596   0.197   0.225   0.451   0.596   0.745   0.954 1.015   220
pi[5]        0.283   0.227   0.009   0.098   0.229   0.420   0.837 1.004  1000
pi[6]        0.239   0.228   0.005   0.061   0.157   0.368   0.832 1.010   320
theta[1,1]   0.032   0.306  -0.573  -0.166   0.015   0.247   0.617 1.013   260
theta[2,1]   0.028   0.281  -0.471  -0.136  -0.021   0.218   0.550 1.006   610
theta[3,1]  -0.064   0.277  -0.615  -0.236  -0.083   0.134   0.412 1.012   320
theta[4,1]  -0.028   0.234  -0.363  -0.194  -0.048   0.142   0.336 1.015   240
theta[5,1]   0.067   0.343  -0.723  -0.019   0.061   0.197   0.780 1.007  1400
theta[6,1]   0.014   0.378  -0.857  -0.149   0.033   0.207   0.758 1.001  4800
theta[1,2]  -0.020   0.297  -0.518  -0.198  -0.102   0.196   0.620 1.013   280
theta[2,2]  -0.003   0.249  -0.415  -0.146  -0.065   0.182   0.476 1.011   330
theta[3,2]   0.144   0.171  -0.300   0.114   0.165   0.232   0.373 1.020   400
theta[4,2]  -0.019   0.223  -0.317  -0.184  -0.005   0.139   0.296 1.017   230
theta[5,2]   0.064   0.335  -0.720  -0.012   0.062   0.185   0.732 1.006  1500
theta[6,2]   0.015   0.382  -0.853  -0.149   0.028   0.210   0.763 1.004  1900
theta[1,3]   0.225   0.255  -0.495   0.154   0.253   0.366   0.588 1.012   490
theta[2,3]   0.322   0.121   0.143   0.233   0.300   0.398   0.587 1.032   130
theta[3,3]  -0.062   0.228  -0.450  -0.222  -0.128   0.130   0.351 1.046    82
theta[4,3]  -0.103   0.196  -0.361  -0.215  -0.151  -0.010   0.277 1.025   140
theta[5,3]   0.071   0.319  -0.673   0.004   0.067   0.181   0.761 1.006  1300
theta[6,3]  -0.003   0.379  -0.863  -0.170   0.005   0.191   0.786 1.001  3100
theta[1,4]  -0.026   0.288  -0.554  -0.192  -0.107   0.181   0.550 1.020   180
theta[2,4]   0.031   0.263  -0.443  -0.130  -0.009   0.211   0.506 1.001  5000
theta[3,4]  -0.157   0.172  -0.421  -0.241  -0.179  -0.115   0.233 1.046   160
theta[4,4]  -0.201   0.093  -0.359  -0.255  -0.202  -0.150  -0.019 1.037   130
theta[5,4]   0.063   0.349  -0.745  -0.040   0.055   0.199   0.824 1.004  1600
theta[6,4]   0.027   0.371  -0.787  -0.131   0.049   0.206   0.774 1.002  5000
theta[1,5]   0.119   0.297  -0.408  -0.117   0.160   0.298   0.723 1.024   140
theta[2,5]   0.147   0.239  -0.385   0.049   0.203   0.272   0.500 1.007   720
theta[3,5]  -0.341   0.189  -0.757  -0.463  -0.293  -0.210  -0.087 1.085    44
theta[4,5]  -0.121   0.199  -0.382  -0.241  -0.163  -0.051   0.255 1.013   270
theta[5,5]   0.074   0.327  -0.675   0.000   0.067   0.199   0.782 1.004  1300
theta[6,5]  -0.037   0.382  -0.851  -0.249  -0.019   0.142   0.777 1.006   620
theta[1,6]  -0.079   0.276  -0.572  -0.223  -0.142   0.074   0.450 1.009   530
theta[2,6]  -0.046   0.254  -0.443  -0.173  -0.097   0.116   0.452 1.011   280
theta[3,6]  -0.053   0.226  -0.488  -0.203  -0.090   0.127   0.320 1.005   860
theta[4,6]   0.083   0.203  -0.296   0.035   0.142   0.203   0.340 1.039   110
theta[5,6]   0.084   0.333  -0.702   0.008   0.079   0.230   0.748 1.008   910
